Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Dell,Laptop Dell Vostro 3510 V5I3305W (Core i3-1115G4/ 8GB/ 256GB/ 15.6 FHD/ Win11 + Office) - Hàng Chính Hãng,15.6,Intel Core i3,8GB,SSD: 256GB,12790000,12690000,https://tiki.vn/laptop-dell-vostro-3510-i3-1115g4-8gb-256gb-15-6-f-officehs-win11-v5i3305w-den-hang-chinh-hang-p155530380.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.156219593&itm_medium=CPC&itm_source=tiki-reco&spid=156219593,Tiki
Asus,Laptop Asus ExpertBook B1400CEAE-EK3724 (Core i5-1135G7/ 8GB DDR4/ 256GB SSD/ 14FHD/ DOS) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 256GB,18900000,13990000,https://tiki.vn/laptop-asus-expertbook-b1400ceae-ek3725-core-i5-1135g7-8gb-ddr4-512gb-ssd-14fhd-dos-hang-chinh-hang-p143338711.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.143338712&itm_medium=CPC&itm_source=tiki-reco&spid=143338712,Tiki
Dell,"Laptop van phòng INSPIRON 3565 15.6 INCH ( A9-9400 3.20GHZ, SSD 256GB, 8GB, AMD R5,15,6"", W10) ) , C<U+1EB7>p , CHU<U+1ED8>T  , BÀN DI CHU<U+1ED8>T ) - HÀNG CHÍNH HÃNG ",15.6,AMD Ryzen 5,8GB,SSD: 256GB,14000000,8490000,https://tiki.vn/laptop-van-phong-modell-inspiron-3565-15-6-inch-a9-9400-3-20ghz-ssd-256gb-8gb-amd-r5-15-6-w10-cap-chuot-ban-di-chuot-hang-chinh-hang-p152350925.html?spid=152350927,Tiki
Dell,Laptop Dell Vostro 15 3510 7T2YC2 (Core i5-1135G7/ 8GB DDR4/ 512GB SSD/ 15.6 FHD/ Win11 + Office) - Hàng Chính Hãng,15.6,Intel Core i5,8GB,SSD: 512GB,18790000,18790000,https://tiki.vn/laptop-dell-vostro-15-3510-7t2yc2-core-i5-1135g7-8gb-ddr4-512gb-ssd-15-6-fhd-win11-office-hang-chinh-hang-p155831428.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.155831429&itm_medium=CPC&itm_source=tiki-reco&spid=155831429,Tiki
Dell,Laptop Dell Vostro 5410 V4I5214W1 (Core i5-11320H/ 8GB DDR4/ 512GB SSD/ Win11 + Office) - Hàng Chính Hãng,14,Intel Core i5,8GB,SSD: 512GB,20690000,20650000,https://tiki.vn/laptop-dell-vostro-5410-v4i5214w1-core-i5-11320h-8gb-ddr4-512gb-ssd-win11-office-hang-chinh-hang-p155830363.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.155830364&itm_medium=CPC&itm_source=tiki-reco&spid=155830364,Tiki
Dell,Laptop Dell Vostro 3400 V4I7015W1 (Core i7-1165G7/ 8GB / 512GB SSD/ MX330 2GB GDDR5 / Win11 + Office) - Hàng Chính Hãng,14,Intel Core i7,8GB,SSD: 512GB,21990000,21510000,https://tiki.vn/laptop-dell-vostro-3400-v4i7015w1-core-i7-1165g7-8gb-ddr4-512gb-ssd-mx330-2gb-win11-office-hang-chinh-hang-p155830350.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.155830351&itm_medium=CPC&itm_source=tiki-reco&spid=155830351,Tiki
Dell,Laptop Dell Vostro 3405 V4R53500U003W(AMD R5-3500U/ 8GB/ 512GB PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,14,AMD Ryzen 5,8GB,SSD: 512GB,22390000,15090000,https://tiki.vn/laptop-dell-vostro-3405-v4r53500u003w-amd-r5-3500u-8gb-512gb-pcie-14-fhd-win10-hang-chinh-hang-p118526695.html?spid=127197467,Tiki
Dell,Laptop Dell Inspiron 3505 Y1N1T5 (AMD R5-3500U/ 8GB/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,15.6,AMD Ryzen 5,8GB,SSD: 512GB,16790000,16490000,https://tiki.vn/laptop-dell-inspiron-3505-y1n1t5-amd-r5-3500u-8gb-512gb-ssd-15-6-fhd-win10-office-hang-chinh-hang-p129937275.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.129937276&itm_medium=CPC&itm_source=tiki-reco&spid=129937276,Tiki
HP,Laptop HP 15s-du1105TU 2Z6L3PA i3-10110U/4GB/256GB SSD/15.6''HD/Win 11/Silver - Hàng Chính Hãng,15.6,Intel Core i3,4GB,SSD: 256GB,12390000,12390000,https://tiki.vn/laptop-hp-15s-du1105tu-2z6l3pa-i3-10110u-4gb-256gb-ssd-15-6-hd-win-10-silver-hang-chinh-hang-p127377025.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.127377026&itm_medium=CPC&itm_source=tiki-reco&spid=127377026,Tiki
Acer,Laptop Acer Aspire 7 A715-42G-R4XX (AMD R5-5500U/ 8GB DDR4/ 256GB SSD/ GTX 1650 4GB/ 15.6 FHD IPS/ Win11) - Hàng Chính Hãng,15.6,AMD Ryzen 5,8GB,SSD: 256GB,19990000,14340000,https://tiki.vn/laptop-acer-aspire-7-a715-42g-r4xx-amd-r5-5500u-8gb-ddr4-256gb-ssd-gtx-1650-4gb-15-6-fhd-ips-win11-hang-chinh-hang-p143172648.html?itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202205250600_MD_batched_PID.143172649&itm_medium=CPC&itm_source=tiki-reco&spid=143172649,Tiki
