Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Intel,Laptop Intel NUC M15 Kit i7 1165G7/16GB/512GB/Touch/Win10 (BBC710ECUXBC1),15.6,Intel Core i7,16GB,SSD: 512GB,37990000,27990000,https://www.thegioididong.com/laptop/intel-nuc-m15-kit-i7-bbc710ecuxbc1?src=osp,TheGioiDiDong
Lenovo,Laptop Lenovo ThinkBook 14p G2 ACH R5 5600H/16GB/512GB/Win11 (20YN001HVN),14,AMD Ryzen 5,16GB,SSD: 512GB,25990000,23990000,https://www.thegioididong.com/laptop/thinkbook-14p-g2-ach-r5-20yn001hvn?src=osp,TheGioiDiDong
Asus,Laptop Asus ZenBook UX425EA i5 1135G7/8GB/512GB/Cáp/Túi/Win11 (KI839W),14,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://www.thegioididong.com/laptop/asus-zenbook-ux425ea-i5-ki839w?src=osp,TheGioiDiDong
Dell,Laptop Dell Gaming G15 5511 i7 11800H/16GB/512GB/4GB RTX3050Ti/120Hz/Office H&S/Win11 (P105F006BGR),15.6,Intel Core i7,16GB,SSD: 512GB,35990000,31990000,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r7-70266674?src=osp,TheGioiDiDong
Dell,Laptop Dell Gaming Alienware m15 R6 i7 11800H/32GB/1TB SSD/6GB RTX3060/165Hz/Office H&S/Win11 (P109F001DBL),15.6,Intel Core i7,32GB,SSD: 1TB,61990000,56990000,https://www.thegioididong.com/laptop/dell-gaming-alienware-m15-r6-i7-p109f001dbl?src=osp,TheGioiDiDong
Dell,Laptop Dell Gaming G15 5515 R7 5800H/8GB/512GB/4GB RTX3050/120Hz/Office H&S/Win11 (70266674),15.6,AMD Ryzen 7,8GB,SSD: 512GB,29990000,29990000,https://www.thegioididong.com/laptop/dell-gaming-g15-5515-r7-70266674?src=osp,TheGioiDiDong
MSI,Laptop MSI Creator Z16P B12UGST i7 12700H/32GB/2TB SSD/8GB RTX3070Ti Max-Q/165Hz/Túi/Chu?t/Win11 (050VN),16,Intel Core i7,32GB,SSD: 2TB,79990000,78990000,https://www.thegioididong.com/laptop/msi-creator-z16p-b12ugst-i7-050vn?src=osp,TheGioiDiDong
Apple,Laptop MacBook Pro 14 M1 Max 2021 10-core CPU/32GB/512GB/24-core GPU (Z15G),14.2,Apple M1 Max,32GB,SSD: 512GB,76900000,72900000,https://www.thegioididong.com/laptop/macbook-pro-14-m1-max-2021-10-core-cpu?src=osp,TheGioiDiDong
MSI,Laptop MSI Gaming GE66 Raider 11UH i7 11800H/32GB/2TB SSD/16GB RTX3080/240Hz/Balo/Chu?t/Win10 (259VN),15.6,Intel Core i7,32GB,SSD: 2TB,77990000,69190000,https://www.thegioididong.com/laptop/msi-gaming-ge66-raider-11uh-i7-259vn?src=osp,TheGioiDiDong
Apple,Laptop MacBook Pro 14 M1 Pro 2021 10-core CPU/32GB/512GB/16-core GPU (Z15J001N0),14.2,Apple M1 Pro,32GB,SSD: 512GB,71990000,67990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m1-pro-2021-10-core-cpu?src=osp,TheGioiDiDong
Dell,Laptop Dell Gaming Alienware m15 R6 i7 11800H/32GB/1TB SSD/8GB RTX3070/240Hz/OfficeHS/Win11 (70272633),15.6,Intel Core i7,32GB,SSD: 1TB,66490000,66490000,https://www.thegioididong.com/laptop/dell-gaming-alienware-m15-r6-i7-70272633?src=osp,TheGioiDiDong
Apple,Laptop Apple MacBook Pro 16 M1 Pro 2021 10 core-CPU/16GB/512GB/16 core-GPU (MK183SA/A),16.2,Apple M1 Pro,16GB,SSD: 512GB,64990000,60990000,https://www.thegioididong.com/laptop/apple-pro-16-m1-pro-2021-10-core-cpu?src=osp,TheGioiDiDong
Apple,Laptop MacBook Pro 14 M1 Pro 2021 8-core CPU/32GB/512GB/14-core GPU (Z15G004SS),14.2,Apple M1 Pro,32GB,SSD: 512GB,64990000,60990000,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m1-pro-2021-8-core-cpu?src=osp,TheGioiDiDong
