Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Apple,Macbook Pro 14 inch 2021 M1 Pro 10 CPU - 24 GPU 32GB 512GB s<U+1EA1>c 96W | Chính hãng Apple Vi<U+1EC7>t Nam,14.2,Apple M1 Pro,32GB,SSD: 512GB,77990000,75000000,https://cellphones.com.vn/macbook-pro-14-inch-2021-m1-max-10cpu-24gpu-32gb-96w.html,CellphoneS
MSI,Laptop MSI Crosshair 15 B12UEZ-460VN,15.6,Intel Core i7,16GB,SSD: 1TB,43990000,41990000,https://cellphones.com.vn/laptop-msi-gaming-crosshair-15-b12uez-460vn.html,CellphoneS
Dell,Laptop Dell Vostro 3405 V4R53500u003W1,14,AMD Ryzen 5,8GB,SSD: 512GB,18490000,16990000,https://cellphones.com.vn/laptop-dell-vostro-3405-v4r53500u003w1.html,CellphoneS
Dell,Laptop Dell Inspiron 3501 70253897,15.6,Intel Core i5,8GB,SSD: 512GB,22490000,20590000,https://cellphones.com.vn/laptop-dell-inspiron-3501-70253897.html,CellphoneS
Lenovo,Laptop Lenovo Ideapad Yoga 6 13ALC6 82ND00BDVN,13.3,AMD Ryzen 7,8GB,SSD: 512GB,23990000,21890000,https://cellphones.com.vn/laptop-lenovo-ideapad-yoga-6-13alc6-82nd00bdvn.html,CellphoneS
Lenovo,Laptop Lenovo Yoga Slim Carbon 14ANC6 82l0005BVN,14,AMD Ryzen 7,16GB,SSD: 1TB,37990000,34990000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7-carbon-14acn6-82l0005bvn.html,CellphoneS
Asus,Laptop ASUS Vivobook Flip 14 TP470EA-EC027T,14,Intel Core i3,4GB,SSD: 512GB,15990000,14790000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tp470ea-ec027t.html,CellphoneS
Asus,Laptop Asus Vivobook X415EA BV451W,14,Intel Celeron,4GB,SSD: 256GB,9190000,7990000,https://cellphones.com.vn/laptop-asus-vivobook-x415ma-bv451w.html,CellphoneS
Asus,Laptop ASUS TUF Gaming FX516PE-HN005T ,15.6,Intel Core i7,8GB,SSD: 512GB,29990000,28790000,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx516pe-hn005t.html,CellphoneS
Asus,Laptop Asus Vivobook X415EA BV451W,14,Intel Celeron,4GB,SSD: 256GB,9190000,7990000,https://cellphones.com.vn/laptop-asus-vivobook-x415ma-bv451w.html,CellphoneS
MSI,Laptop MSI Katana GF76 11UC-096VN,17.3,Intel Core i7,8GB,SSD: 512GB,29990000,26990000,https://cellphones.com.vn/laptop-msi-katana-gf76-11uc-096vn.html,CellphoneS
Lenovo,Laptop Lenovo ideapad 5 pro 14ACN 82L700L7VN,14,AMD Ryzen 7,16GB,SSD: 512GB,23990000,22390000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l700l7vn.html,CellphoneS
HP,Laptop HP Pavilion 15-EG0539TU 4P5G6PA ,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,17590000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0539tu-4p5g6pa.html,CellphoneS
Apple,Apple imac 21.5 4K 2020 i5 3.0 8GB 256GB Radeon 560X Chính Hãng (MHK33),21.5,Intel Core i5,8GB,SSD: 256GB,39990000,27990000,https://cellphones.com.vn/imac-21-5-inch-2020-4k-radeon-560x.html,CellphoneS
Dell,Laptop Dell Inspirion N5515 N5R75700U104W1,15.6,AMD Ryzen 7,8GB,SSD: 512GB,24290000,22990000,https://cellphones.com.vn/laptop-dell-inspiron-n5515-n5r75700u104w1.html,CellphoneS
Asus,Laptop ASUS VivoBook A515EA-L12033T,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,17690000,https://cellphones.com.vn/laptop-asus-vivobook-a515ea-l12033t.html,CellphoneS
Dell,LAPTOP DELL INSPIRON 3505 i3505-A542BLK ,15.6,AMD Ryzen 5,8GB,SSD: 256GB,18990000,15490000,https://cellphones.com.vn/laptop-dell-inspiron-3505-i3505-a542blk.html,CellphoneS
MSI,Laptop gaming MSI GF63 Thin 11SC 662VN,15.6,Intel Core i7,8GB,SSD: 512GB,23990000,21990000,https://cellphones.com.vn/laptop-msi-gaming-gf63-thin-11sc-662vn.html,CellphoneS
HP,Laptop HP 14S-FQ1066AU 4K0Z6PA ,14,AMD Ryzen 5,8GB,SSD: 256GB,16990000,15590000,https://cellphones.com.vn/laptop-hp-14s-fq1066au-4k0z6pa.html,CellphoneS
Asus,Laptop Asus Vivobook S533EA BN462W,15.6,Intel Core i5,8GB,SSD: 512GB,20590000,18590000,https://cellphones.com.vn/laptop-asus-vivobook-s533ea-bn462w.html,CellphoneS
Dell,Laptop Dell Inspiron 14 5410 P143G001ASL,14,Intel Core i5,8GB,SSD: 512GB,24490000,23690000,https://cellphones.com.vn/laptop-dell-inspiron-14-5410-p143g001asl.html,CellphoneS
HP,Laptop HP 15-DW1001WN 4J238UA,15.6,Intel Celeron,4GB,SSD: 128GB,11990000,9790000,https://cellphones.com.vn/laptop-hp-15-dw1001wn-4j238ua.html,CellphoneS
Dell,Laptop Dell Inspiron 7501 N5I5012W,15.6,Intel Core i5,8GB,SSD: 512GB,30490000,28590000,https://cellphones.com.vn/laptop-dell-inspiron-7501.html,CellphoneS
LG,Laptop LG Gram 2021 16Z90P-G.AH73A5 16 inch,16,Intel Core i7,16GB,SSD: 512GB,48900000,40990000,https://cellphones.com.vn/laptop-lg-gram-16-2021-ssd-256gb.html,CellphoneS
Dell,Laptop Dell Inspiron 14 5406 TYCJN1,14,Intel Core i7,8GB,SSD: 512GB,30390000,29190000,https://cellphones.com.vn/laptop-dell-inspiron-14-5406-tycjn1.html,CellphoneS
