Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
HP,HP ZBook Firefly 14 G8 i5 1135G7/1A2F1AV,14,Intel Core i5,8GB,SSD: 512GB,33999000,32799000,https://fptshop.com.vn/may-tinh-xach-tay/hp-zbook-firefly-14-g8-i5-1135g7-ram-8gb,FPTshop
Lenovo,Lenovo Slim Yoga 7 Carbon 14ACN6 R7 5800U/82L0005AVN,14,AMD Ryzen 7,16GB,SSD: 1TB,35999000,32400000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-slim-yoga-7-carbon-14acn6-r7-5800u,FPTshop
Dell,Dell Gaming G15 5511 i7 11800H/P105F006,15.6,Intel Core i7,8GB,SSD: 512GB,33999000,32299000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5511-i7-11800h,FPTshop
Asus,Asus Zenbook Duo UX482EA-KA274T/i5-1135G7,14,Intel Core i5,8GB,SSD: 512GB,32999000,31799000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-duo-ux482ea-ka274t-i5-1135g7,FPTshop
Dell,"Laptop Dell Gaming G15 5515/R7 5800H/16GB/512GB/RTX 3050Ti 4GB/15.6""FHD/Win 11+Office HS 21",15.6,AMD Ryzen 7,16GB,SSD: 512GB,32999000,31349000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5515-r7-5800h-rtx-3050ti-win-11,FPTshop
Apple,"MacBook Pro 13"" 2020 Touch Bar M1 256GB",13.3,Apple M1,8GB,SSD: 256GB,34999000,30999000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-pro-13-2020-touch-bar-m1-256gb,FPTshop
Asus,Laptop Asus Vivobook Pro M7600QC-L2077W R5 5600H/16GB/512GB/16 inch 4K/RTX 3050 4GB/Win11,16,AMD Ryzen 5,16GB,SSD: 512GB,32999000,30199000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m7600qc-l2077w-r5-5600h,FPTshop
HP,HP ENVY x360 13-bd0528TU i7 1165G7/4Y0Y3PA,13.3,Intel Core i7,8GB,SSD: 512GB,30999000,29999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-13-bd0528tu-i7-1165g7-win-11,FPTshop
Asus,Asus Zenbook UX425EA-KI843W/i7-1165G7,14,Intel Core i7,16GB,SSD: 512GB,30699000,29499000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux425ea-k843w-i7-1165g7,FPTshop
HP,"Laptop HP Gaming Victus 16-d0199TX i7-11800H/8GB/512GB+32GB/RTX 3050Ti 4GB/16.1""FHD/Win11",16.1,Intel Core i7,8GB,SSD: 512GB,32499000,28929000,https://fptshop.com.vn/may-tinh-xach-tay/hp-victus-16-d0199tx-i7-11800h-rtx-3050ti,FPTshop
HP,"Laptop HP Gaming Victus 16-d0199TX i7-11800H/8GB/512GB+32GB/RTX 3050Ti 4GB/16.1""FHD/Win11",16.1,Intel Core i8,8GB,SSD: 512GB,32499000,28929000,https://fptshop.com.vn/may-tinh-xach-tay/hp-victus-16-d0199tx-i7-11800h-rtx-3050ti,FPTshop
Asus,Asus Gaming ROG G513RC-HN038W/R7-6800H,15.6,AMD Ryzen 7,8GB,SSD: 512GB,30999000,28829000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-rog-g513rc-hn038w-r7-6800h,FPTshop
Asus,Asus Zenbook UX325EA-KG658W/i7-1165G7,13.3,Intel Core i7,16GB,SSD: 512GB,29999000,28799000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-ux325ea-kg658w-i7-1165g7,FPTshop
Acer,"Laptop Acer Nitro Gaming AN515-58-773Y/i7-12700H/8GB/512GB/15.6""FHD/RTX 3050Ti 4GB/Win 11",15.6,Intel Core i7,8GB,SSD: 512GB,31999000,28799000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-773y-i7-12700h,FPTshop
Dell,"Laptop Dell Gaming G15 5515/R7 5800H/8GB/512GB/RTX3050 4GB/15.6""FHD/Win 11+Office HS 21",15.6,AMD Ryzen 7,8GB,SSD: 512GB,29999000,28499000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5515-r7-5800h-win-11,FPTshop
HP,HP Envy 13-ba1535TU i7-1165G7/U6M4PA,13.3,Intel Core i7,8GB,SSD: 512GB,29399000,28399000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1535tu-i7-1165g7-win-11,FPTshop
Lenovo,Lenovo Gaming Legion 5 15ACH6 R7 5800H/82JW00AJVN,15.6,AMD Ryzen 7,8GB,SSD: 512GB,32499000,28200000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-legion-5-15ach6-r7-5800,FPTshop
MSI,MSI Gaming Katana GF66 11UD 697VN i7 11800H,15.6,Intel Core i7,8GB,SSD: 512GB,30999000,27900000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf66-11ud-697vn-i7-11800h,FPTshop
Acer,Acer Nitro Gaming AN515-57-720A/i7-11800H,15.6,Intel Core i7,8GB,SSD: 512GB,30499000,27449000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-720a-i7-11800h,FPTshop
Asus,Asus Gaming TUF FA707RC-HX130W/R7-6800H,17.3,AMD Ryzen 7,8GB,SSD: 512GB,29499000,27439000,https://fptshop.com.vn/may-tinh-xach-tay/asus-gaming-tuf-fa707rc-hx130w-r7-6800h,FPTshop
MSI,MSI Gaming Katana GF76 11UC 096VN i7 11800H,17.3,Intel Core i7,8GB,SSD: 512GB,30299000,27300000,https://fptshop.com.vn/may-tinh-xach-tay/msi-katana-gf76-11uc-096vn-i7-11800h,FPTshop
MSI,MSI Gaming Katana GF66 11UC 641VN i7 11800H,15.6,Intel Core i7,8GB,SSD: 512GB,29999000,27000000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf66-11uc-641vn-i7-11800h-rtx3050,FPTshop
HP,HP VICTUS 16-e0168AX R7 5800H/4R0U6PA,16.1,AMD Ryzen 7,8GB,SSD: 512GB,29999000,26699000,https://fptshop.com.vn/may-tinh-xach-tay/hp-victus-16-e0168ax-r7-5800h,FPTshop
Asus,Asus Vivobook Pro M3500QC-L1388W/R5-5600H,15.6,AMD Ryzen 5,16GB,SSD: 512GB,27599000,26599000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1388w-r5-5600h,FPTshop
MSI,MSI Gaming GF65 10UE 286VN i5 10500H,15.6,Intel Core i5,16GB,SSD: 512GB,29499000,26500000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf65-10ue-286vn-i5-10500h,FPTshop
Acer,Acer Swift X SFX16-51G-516Q/i5-11320H,16.1,Intel Core i5,16GB,SSD: 512GB,28999000,26299000,https://fptshop.com.vn/may-tinh-xach-tay/acer-swift-x-sfx16-51g-516q-i5-11320h,FPTshop
Dell,Dell Gaming G15 5511 i5 11400H/70266676,15.6,Intel Core i5,8GB,SSD: 256GB,27499000,26129000,https://fptshop.com.vn/may-tinh-xach-tay/dell-gaming-g15-5511-i5-11400h,FPTshop
Gigabyte,Gigabyte U4 UD i7 1195G7/70S1823SO,14,Intel Core i7,16GB,SSD: 512GB,26999000,25999000,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-u4-ud-i7-1195g7,FPTshop
Acer,Acer Nitro Gaming AN515-57-71VV/i7-11800H,15.6,Intel Core i7,8GB,SSD: 512GB,28999000,25809000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-71vv-i7-11800h,FPTshop
HP,HP Gaming VICTUS 16-d0201TX i5-11400H/4R0U3PA,16.1,Intel Core i5,8GB,SSD: 512GB,28999000,25809000,https://fptshop.com.vn/may-tinh-xach-tay/hp-gaming-victus-16-d0201tx-i5-11400h,FPTshop
MSI,MSI GF63 Thin 11UC 442VN i7 11800H,15.6,Intel Core i7,8GB,SSD: 512GB,28499000,25600000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gf63-thin-11uc-442vn-i7-11800h,FPTshop
HP,HP Envy X360 13-bd0530TU i5 1135G7/4Y0Y4PA,13.3,Intel Core i5,8GB,SSD: 512GB,26299000,25299000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-13-bd0530tu-i5-1135g7,FPTshop
Asus,Laptop Asus TUF Gaming FX517ZC-HN077W/i5-12450H/8GB/512GB SSD/15.6FHD/RTX3050 4GB/Win 11,15.6,Intel Core i5,8GB,SSD: 512GB,27999000,25199000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx517zc-hn077w-i5-12450h,FPTshop
Asus,Asus Zenbook Flip UX363EA-HP726W/i5-1135G7,13.3,Intel Core i5,8GB,SSD: 512GB,25999000,24999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-flip-ux363ea-hp726w-i5-1135g7,FPTshop
Asus,Asus Zenbook UM5401QA-KN209W/R5-5600H,14,AMD Ryzen 5,8GB,SSD: 512GB,25999000,24999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-zenbook-um5401qa-kn209w-r5-5600h,FPTshop
Dell,Dell Latitude L5420CTO i5 1135G7/42LT542005,14,Intel Core i5,8GB,SSD: 256GB,25999000,24999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-latitude-5420cto-i5-1135g7-win-11,FPTshop
HP,HP ENVY x360 Convert 13 ay1057AU R5 5600U/601Q9PA,13.3,AMD Ryzen 5,8GB,SSD: 256GB,25999000,24999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-convert-13-ay1057au-r5-5600u,FPTshop
Asus,Asus Vivobook Pro M3500QC-L1105T/R5-5600H,15.6,AMD Ryzen 5,8GB,SSD: 512GB,26599000,24739000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-pro-m3500qc-l1105t-r5-5600h,FPTshop
Acer,Acer Nitro Gaming AN515-58-52SP/i5-12500H,15.6,Intel Core i5,8GB,SSD: 512GB,27999000,24699000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-58-52sp-i5-12500h,FPTshop
Apple,"MacBook Air 13"" 2020 M1 256GB",13.3,Apple M1,8GB,SSD: 256GB,28999000,24499000,https://fptshop.com.vn/may-tinh-xach-tay/macbook-air-13-2020-m1-256gb,FPTshop
Lenovo,Lenovo Yoga 7 14ACN6 R7 5800U/82N7002LVN,14,AMD Ryzen 7,8GB,SSD: 512GB,26999000,24300000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-7-14acn6-r7-5800u,FPTshop
Gigabyte,Gigabyte Gaming G5 GD i5 11400H/51S1123SO,15.6,Intel Core i5,16GB,SSD: 512GB,26999000,23999000,https://fptshop.com.vn/may-tinh-xach-tay/gigabyte-gaming-g5-gd-i5-11400h-win-11,FPTshop
HP,HP Envy x360 13-bd0531TU i5 1135G7/4Y1D1PA,13.3,Intel Core i5,8GB,SSD: 256GB,24999000,23999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-x360-13-bd0531tu-i5-1135g7,FPTshop
Lenovo,Lenovo Yoga Slim 7 14ITL05 Core i5-1135G7/82A300LEVN,14,Intel Core i5,16GB,SSD: 512GB,26299000,23700000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-14itl05-i5-1135g7-win-11,FPTshop
Acer,Acer Nitro Gaming AN515-57-74NU/i7-11800H,15.6,Intel Core i7,8GB,SSD: 512GB,29999000,23699000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-74nu-i7-11800h,FPTshop
Lenovo,Lenovo ThinkBook 15 G2 ITL i7 1165G7/20VE00URVN,15.6,Intel Core i7,8GB,SSD: 512GB,26199000,23600000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-15-g2-itl-i7-1165g7-win-11,FPTshop
