Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
Acer,Laptop Acer Nitro Gaming AN515-45-R6EV R5 5600H/8GB/512GB SSD/GTX1650 4GB/Win11 - Ðen,15.6,AMD Ryzen 5,8GB,SSD: 512GB,23999000,21599000,https://sendo.vn/laptop-acer-nitro-gaming-an515-45-r6ev-r5-5600h8gb512gb-ssdgtx1650-4gbwin11-den-73178352.html,Sendo
Asus,Laptop Asus Vivobook X515EA-BQ1005W i3 1115G4/8GB/512GB SSD/Win11 - B<U+1EA1>c,15.6,Intel Core i3,8GB,SSD: 512GB,13999000,13399000,https://sendo.vn/laptop-asus-vivobook-x515ea-bq1005w-i3-1115g48gb512gb-ssdwin11-bac-73178310.html,Sendo
Asus,Laptop Asus Vivobook  X515EA-BQ993W i5 1135G7/8GB/512GB SSD/Win11 - B<U+1EA1>c,15.6,Intel Core i5,8GB,SSD: 512GB,17999000,17199000,https://sendo.vn/laptop-asus-vivobook-x515ea-bq993w-i5-1135g78gb512gb-ssdwin11-bac-73178308.html,Sendo
Asus,Laptop Asus VivoBook A515EA-BN1688W i3 1115G4/8GB/256GB SSD/Win11 - B<U+1EA1>c,15.6,Intel Core i3,8GB,SSD: 256GB,15499000,14799000,https://sendo.vn/laptop-asus-vivobook-a515ea-bn1688w-i3-1115g48gb256gb-ssdwin11-bac-73178307.html,Sendo
Acer,Laptop Acer Nitro Gaming AN515-57-5669 i5 11400H/8GB/512GB SSD/Nvidia GTX1650 4GB/Win11 - Ðen,15.6,Intel Core i5,8GB,SSD: 512GB,23999000,21599000,https://sendo.vn/laptop-acer-nitro-gaming-an515-57-5669-i5-11400h8gb512gb-ssdnvidia-gtx1650-4gbwin11-den-73178305.html,Sendo
Asus,Laptop Asus Vivobook X415EA-EB935W i3 1115G4/8GB/256GB SSD/Win11 - B<U+1EA1>c,14,Intel Core i3,8GB,SSD: 256GB,13499000,12899000,https://sendo.vn/laptop-asus-vivobook-x415ea-eb935w-i3-1115g48gb256gb-ssdwin11-bac-73178283.html,Sendo
HP,"Laptop HP 15s-fq2602TU/Core i5-1135G7/8GB/256GB/15.6""HD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 256GB,15999000,15499000,https://sendo.vn/laptop-hp-15s-fq2602tucore-i5-1135g78gb256gb156hdwin-11-bac-73178280.html,Sendo
HP,"Laptop HP 15s fq2561TU i5 1135G7/8GB/512GB/15.6""HD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 512GB,16999000,16499000,https://sendo.vn/laptop-hp-15s-fq2561tu-i5-1135g78gb512gb156hdwin-11-bac-73178279.html,Sendo
Asus,"Laptop Asus Vivobook A515EA-L11970W i5 1135G7/8GB/512GB SSD/15.6"" OLED/Win11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 512GB,19999000,18999000,https://sendo.vn/laptop-asus-vivobook-a515ea-l11970w-i5-1135g78gb512gb-ssd156-oledwin11-bac-73178277.html,Sendo
Dell,"Laptop Dell Inspiron N3505 R5 3450U/8GB/256GB/15.6""FHD Touch/AMD Radeon Vega 8/Win 10/NK - Ðen",15.6,AMD Ryzen 5,8GB,SSD: 256GB,17999000,16699000,https://sendo.vn/laptop-dell-inspiron-n3505-r5-3450u8gb256gb156fhd-touchamd-radeon-vega-8win-10nk-den-73178107.html,Sendo
HP,"Laptop HP 240 G8 i3 1005G1/8GB/512GB/14.0""HD/Win 10 - B<U+1EA1>c",14,Intel Core i3,8GB,SSD: 512GB,14199000,13699000,https://sendo.vn/laptop-hp-240-g8-i3-1005g18gb512gb140hdwin-10-bac-73178090.html,Sendo
HP,"Laptop HP 240 G8 i5 1135G7/8GB/512GB/14.0""HD/Win 10 - B<U+1EA1>c",14,Intel Core i5,8GB,SSD: 512GB,17999000,17499000,https://sendo.vn/laptop-hp-240-g8-i5-1135g78gb512gb140hdwin-10-bac-73177891.html,Sendo
iSmart,"Laptop iSmart Book Air 6 - Thuong hi<U+1EC7>u Vi<U+1EC7>t Ingreetech - Hàng chính hãng - Intel Celeron 4C/4T RAM 4GB SSD 64GB 14""",14,Intel Celeron,4GB,eMMC: 64GB,9999000,9999000,https://sendo.vn/laptop-ismart-book-air-6-thuong-hieu-viet-ingreetech-hang-chinh-hang-intel-celeron-4c4t-ram-4gb-ssd-64gb-14-48946770.html,Sendo
Asus,Laptop Asus VivoBook A515EA-BN1688W i3 1115G4/8GB/256GB SSD/Win11 - B<U+1EA1>c,15.6,Intel Core i3,8GB,SSD: 256GB,15499000,15499000,https://sendo.vn/laptop-asus-vivobook-a515ea-bn1688w-i3-1115g48gb256gb-ssdwin11-bac-69989162.html,Sendo
HP,"Laptop HP 15s-fq2602TU/Core i5-1135G7/8GB/256GB/15.6""HD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 256GB,15999000,15999000,https://sendo.vn/laptop-hp-15s-fq2602tucore-i5-1135g78gb256gb156hdwin-11-bac-68153101.html,Sendo
MSI,"Laptop MSI Gaming GF63 Thin 10SC-481VN i7 10750H/8GB/512GB/15.6""FHD/GTX 1650 Max-Q 4GB/Win 10 - Ðen",15.6,Intel Core i7,8GB,SSD: 512GB,22999000,22999000,https://sendo.vn/laptop-msi-gaming-gf63-thin-10sc-481vn-i7-10750h8gb512gb156fhdgtx-1650-max-q-4gbwin-10-den-50238282.html,Sendo
HP,"Laptop HP Pavilion 14 dv0512TU i5 1135G7/8G/512G SSD/Intel Graphics/14""FHD/Win 10 - B<U+1EA1>c",14,Intel Core i5,8GB,SSD: 512GB,18499000,18499000,https://sendo.vn/laptop-hp-pavilion-14-dv0512tu-i5-1135g78g512g-ssdintel-graphics14fhdwin-10-bac-48891645.html,Sendo
Apple,"MacBook Pro 13"" 2020 Touch Bar M1 16GB/512GB - Xám",13.3,Apple M1,16GB,SSD: 512GB,44999000,44999000,https://sendo.vn/macbook-pro-13-2020-touch-bar-m1-16gb512gb-xam-41201468.html,Sendo
Apple,"MacBook Pro 13"" 2020 Touch Bar M1 256GB - Xám",13.3,Apple M1,8GB,SSD: 256GB,34999000,34999000,https://sendo.vn/macbook-pro-13-2020-touch-bar-m1-256gb-xam-38802839.html,Sendo
Apple,"MacBook Air 13"" 2020 M1 256GB - Vàng",13.3,Apple M1,8GB,SSD: 256GB,28999000,28999000,https://sendo.vn/macbook-air-13-2020-m1-256gb-vang-38802823.html,Sendo
Asus,"Laptop ASUS	X409UA-EK092T - B<U+1EA0>C	I3-7020U 14 inch",14,Intel Core i3,4GB,HDD: 1TB,9650000,9650000,https://sendo.vn/laptop-asus-x409ua-ek092t-bac-i3-7020u-14-inch-23624288.html,Sendo
Dell,Laptop DELL Vos V3568 VTI3072NF -I3-7020U15.6inch Ðen,15.6,Intel Core i3,4GB,HDD: 1TB,9450000,9450000,https://sendo.vn/laptop-dell-vos-v3568-vti3072nf-i3-7020u156inch-den-20779561.html,Sendo
Asus,Laptop ASUS X507UA EJ483T - i5-8250 15.6inch Vàng,15.6,Intel Core i5,4GB,HDD: 1TB,11999000,11999000,https://sendo.vn/laptop-asus-x507ua-ej483t-i5-8250-156inch-vang-17629420.html,Sendo
Dell,Laptop DELL Inspiron  N3573 70178837 - N5000 15.6inch Ðen,15.6,Intel Pentium,4GB,HDD: 512GB,7750000,7750000,https://sendo.vn/laptop-dell-inspiron-n3573-70178837-n5000-156inch-den-17175842.html,Sendo
HP,Laptop HP 15 da0055TU 4NA89PA  i3 7020u,15.6,Intel Core i3,4GB,HDD: 1TB,9550000,9550000,https://sendo.vn/laptop-hp-15-da0055tu-4na89pa-i3-7020u-17630857.html,Sendo
Dell,"Laptop Dell Inspiron N3510 N4020/4GB/128GB/15.6""HD/Intel HD/Win 10/91K5_NK - Ðen",15.6,Intel Celeron,4GB,SSD: 128GB,10699000,10059000,https://sendo.vn/laptop-dell-inspiron-n3510-n40204gb128gb156hdintel-hdwin-1091k5-nk-den-73178186.html,Sendo
Asus,"Laptop Asus Vivobook A415EA-EB1749W i3 1125G4/8GB/512GB SSD/14"" FHD/Win11 - B<U+1EA1>c",14,Intel Core i3,8GB,SSD: 512GB,14999000,14999000,https://sendo.vn/laptop-asus-vivobook-a415ea-eb1749w-i3-1125g48gb512gb-ssd14-fhdwin11-bac-71346802.html,Sendo
Apple,"MacBook Pro 14"" 2021 M1 Pro Ram 32GB - Xám",14,Apple M1 Pro,32GB,SSD: 512GB,63990000,63990000,https://sendo.vn/macbook-pro-14-2021-m1-pro-ram-32gb-xam-71101987.html,Sendo
Asus,Laptop Asus Vivobook X515EA-BQ1005W i3 1115G4/8GB/512GB SSD/Win11 - B<U+1EA1>c,15.6,Intel Core i3,8GB,SSD: 512GB,13999000,13999000,https://sendo.vn/laptop-asus-vivobook-x515ea-bq1005w-i3-1115g48gb512gb-ssdwin11-bac-69919863.html,Sendo
Asus,Laptop Asus Vivobook X415EA-EB935W i3 1115G4/8GB/256GB SSD/Win11 - B<U+1EA1>c,14,Intel Core i3,8GB,SSD: 256GB,13499000,13499000,https://sendo.vn/laptop-asus-vivobook-x415ea-eb935w-i3-1115g48gb256gb-ssdwin11-bac-68133565.html,Sendo
Asus,"Laptop Asus Zenbook Flip UX363EA-HP726W i5 1135G7/8GB/512GB SSD/13.3"" OLED Touch/Win11 - Ðen",13.3,Intel Core i5,8GB,SSD: 512GB,25999000,25999000,https://sendo.vn/laptop-asus-zenbook-flip-ux363ea-hp726w-i5-1135g78gb512gb-ssd133-oled-touchwin11-den-67680548.html,Sendo
Apple,"MacBook Pro 13"" 2020 Touch Bar M1 256GB - Xám",13.3,Apple M1,8GB,SSD: 256GB,34999000,30999000,https://sendo.vn/macbook-pro-13-2020-touch-bar-m1-256gb-xam-73216942.html,Sendo
Apple,"MacBook Pro 13"" 2020 Touch Bar M1 256GB - B<U+1EA1>c",13.3,Apple M1,8GB,SSD: 256GB,34999000,30999000,https://sendo.vn/macbook-pro-13-2020-touch-bar-m1-256gb-bac-73216941.html,Sendo
Apple,"MacBook Air 13"" 2020 M1 256GB - Vàng",13.3,Apple M1,8GB,SSD: 256GB,28999000,24499000,https://sendo.vn/macbook-air-13-2020-m1-256gb-vang-73216937.html,Sendo
Apple,"MacBook Air 13"" 2020 M1 256GB - B<U+1EA1>c",13.3,Apple M1,8GB,SSD: 256GB,28999000,24499000,https://sendo.vn/macbook-air-13-2020-m1-256gb-bac-73216935.html,Sendo
Apple,"MacBook Air 13"" 2020 M1 256GB - Xám",13.3,Apple M1,8GB,SSD: 256GB,28999000,24499000,https://sendo.vn/macbook-air-13-2020-m1-256gb-xam-73216934.html,Sendo
HP,"Laptop HP Pavilion 15 eg0540TU i5 1135G7/8GB/256GB/15.6F""HD/Win 11 - Ðen",15.6,Intel Core i5,8GB,SSD: 256GB,17999000,17999000,https://sendo.vn/laptop-hp-pavilion-15-eg0540tu-i5-1135g78gb256gb156fhdwin-11-den-72920873.html,Sendo
HP,"Laptop HP Pavilion 15 eg0539TU i5 1135G7/8GB/512GB/15.6""FHD/Win 11 - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 512GB,18999000,18999000,https://sendo.vn/laptop-hp-pavilion-15-eg0539tu-i5-1135g78gb512gb156fhdwin-11-bac-72920836.html,Sendo
Asus,"Laptop Asus Zenbook UX425EA-KI839W i5 1135G7/8GB/512GB SSD/14"" FHD/Win 11 - Xám",14,Intel Core i5,8GB,SSD: 512GB,22999000,22999000,https://sendo.vn/laptop-asus-zenbook-ux425ea-ki839w-i5-1135g78gb512gb-ssd14-fhdwin-11-xam-72788355.html,Sendo
Asus,"Laptop Asus Zenbook UX425EA-KI883W i5 1135G7/8GB/512GB SSD/14"" FHD/Win11 - Tím",14,Intel Core i5,8GB,SSD: 512GB,22999000,22999000,https://sendo.vn/laptop-asus-zenbook-ux425ea-ki883w-i5-1135g78gb512gb-ssd14-fhdwin11-tim-72788354.html,Sendo
Dell,"Laptop Dell Inspiron N7501 i5 10300H/8GB/256GB/15.6""FHD/Win 11/NK - B<U+1EA1>c",15.6,Intel Core i5,8GB,SSD: 256GB,22499000,22499000,https://sendo.vn/laptop-dell-inspiron-n7501-i5-10300h8gb256gb156fhdwin-11nk-bac-72537939.html,Sendo
Dell,"Laptop Dell Inspiron N7415 R5 5500U/8GB/256GB/14""FHD Touch/Win 11_NK - Xanh",14,AMD Ryzen 5,8GB,SSD: 256GB,21499000,21499000,https://sendo.vn/laptop-dell-inspiron-n7415-r5-5500u8gb256gb14fhd-touchwin-11-nk-xanh-72537938.html,Sendo
Lenovo,Laptop Lenovo Thinkbook 14p G2 ACH R7 5800H/16GB/512GB/14”2.2K/Win 11 - Xám,14,AMD Ryzen 7,16GB,SSD: 512GB,27999000,27999000,https://sendo.vn/laptop-lenovo-thinkbook-14p-g2-ach-r7-5800h16gb512gb14-22kwin-11-xam-72485130.html,Sendo
MSI,"Laptop MSI Modern 14 B11MOU-1034VN i5 1155G7/8GB/512GB/14""FHD/Win 11 - Xám",14,Intel Core i5,8GB,SSD: 512GB,18499000,18499000,https://sendo.vn/laptop-msi-modern-14-b11mou-1034vn-i5-1155g78gb512gb14fhdwin-11-xam-72396228.html,Sendo
Lenovo,"Laptop Lenovo ThinkPad E15 Gen 3 R5 5500U/8GB/512GB/15.6""FHD/Win 11 - Ðen",15.6,AMD Ryzen 5,8GB,SSD: 512GB,20199000,20199000,https://sendo.vn/laptop-lenovo-thinkpad-e15-gen-3-r5-5500u8gb512gb156fhdwin-11-den-72347076.html,Sendo
Asus,"Laptop Asus Vivobook Pro M3401QA-KM006W R5 5600H/8GB/512GB SSD/14"" 2.8K OLED/Win11 - B<U+1EA1>c",14,AMD Ryzen 5,8GB,SSD: 512GB,19999000,19999000,https://sendo.vn/laptop-asus-vivobook-pro-m3401qa-km006w-r5-5600h8gb512gb-ssd14-28k-oledwin11-bac-72347074.html,Sendo
Acer,Laptop Acer Aspire 3 A315-57G-573F i5 1035G1/8GB/512GB SSD/Nvidia GeForce MX330 2GB/Win11 - Ðen,15.6,Intel Core i5,8GB,SSD: 512GB,16999000,16999000,https://sendo.vn/laptop-acer-aspire-3-a315-57g-573f-i5-1035g18gb512gb-ssdnvidia-geforce-mx330-2gbwin11-den-72347070.html,Sendo
MSI,"Laptop MSI GF63 Thin 11UC 444VN i5 11400H/8GB/512GB SSD/15.6""FHD/RTX3050 4GB/Win10 - Ðen",15.6,Intel Core i5,8GB,SSD: 512GB,25499000,25499000,https://sendo.vn/laptop-msi-gf63-thin-11uc-444vn-i5-11400h8gb512gb-ssd156fhdrtx3050-4gbwin10-den-72347067.html,Sendo
MSI,"Laptop MSI Modern 14 B11MOU-1028VN i3 1115G4/8GB/256GB/14""FHD/Win11 - Xám",14,Intel Core i3,8GB,SSD: 256GB,14499000,14499000,https://sendo.vn/laptop-msi-modern-14-b11mou-1028vn-i3-1115g48gb256gb14fhdwin11-xam-72347065.html,Sendo
Lenovo,Laptop Lenovo IdeaPad Slim 5 15ITL05 i5 1135G7/8GB/512GB/15.6”FHD/Win 11 - Xám,15.6,Intel Core i5,8GB,SSD: 512GB,19799000,19799000,https://sendo.vn/laptop-lenovo-ideapad-slim-5-15itl05-i5-1135g78gb512gb156-fhdwin-11-xam-72347063.html,Sendo
HP,"Laptop HP Pavilion 14 dv0512TU i5 1135G7/8G/512GB/14""FHD/Win 11 - B<U+1EA1>c",14,Intel Core i5,8GB,SSD: 512GB,18499000,18499000,https://sendo.vn/laptop-hp-pavilion-14-dv0512tu-i5-1135g78g512gb14fhdwin-11-bac-72169798.html,Sendo
