ID,Brand,Name,ScreenSize,CPU,RAM,HardDisk,DefaultPrice,SalePrice,Link,Website
340,Asus,Laptop ASUS Gaming ROG Zephyrus G14 GA401QC-HZ032T,14,AMD Ryzen 7,16GB,SSD: 512GB,32990000,31090000,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qc-hz032t.html,CellphoneS
341,Lenovo,Laptop Lenovo Ideapad 5 15ITL05 82FG00M5VN,15.6,Intel Core i5,8GB,SSD: 512GB,19990000,19190000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-15itl05.html,CellphoneS
342,Dell,Dell Gaming G15 Ryzen Edition 5515 70266675,15.6,AMD Ryzen 7,16GB,SSD: 512GB,33990000,29490000,https://cellphones.com.vn/laptop-dell-gaming-g15-ryzen-edition-5515-70266675.html,CellphoneS
343,LG,Laptop LG Gram 2021 17Z90P-G.AH78A5 17 inch,17,Intel Core i7,16GB,SSD: 1TB,54900000,44890000,https://cellphones.com.vn/laptop-lg-gram-17-2021.html,CellphoneS
344,Asus,Laptop ASUS TUF Dash 15 FX516PM-HN002W,15.6,Intel Core i7,8GB,SSD: 512GB,32990000,28990000,https://cellphones.com.vn/laptop-asus-tuf-gaming-dash-f15-fx516pm-hn002w.html,CellphoneS
345,Asus,Laptop ASUS VivoBook 15 A515EA ,15.6,Intel Core i3,4GB,SSD: 512GB,15390000,14290000,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea-i3-ram-4gb.html,CellphoneS
346,Lenovo,Laptop Lenovo IdeaPad Gaming 3 15IHU6 82K100FBVN,15.6,Intel Core i7,8GB,SSD: 512GB,28490000,26990000,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15ihu6-82k100fbvn.html,CellphoneS
347,HP,Laptop HP Envy X360 13-BD0530TU 4Y0Y4PA ,13.3,Intel Core i5,8GB,SSD: 512GB,26290000,24990000,https://cellphones.com.vn/laptop-hp-envy-x360-13-bd0530tu-4y0y4pa.html,CellphoneS
348,Lenovo,Laptop Lenovo IdeaPad 5 Pro 16ACH6,16,AMD Ryzen 7,16GB,SSD: 512GB,27990000,26590000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-16ach6-82l50082vn.html,CellphoneS
349,HP,Laptop HP 15-EF1300WM,15.6,AMD Ryzen 3,4GB,SSD: 128GB,13990000,11290000,https://cellphones.com.vn/laptop-hp-15-ef1300wm.html,CellphoneS
350,MSI,Laptop MSI Creator M16 A11UD-694VN,16,Intel Core i7,16GB,SSD: 1TB,39990000,36490000,https://cellphones.com.vn/laptop-msi-creator-m16-a11ud-694vn.html,CellphoneS
351,Acer,Laptop Gaming Acer Nitro 5 Eagle  AN515-57-74NU NH.QD9SV.001,15.6,Intel Core i7,8GB,SSD: 512GB,29990000,27990000,https://cellphones.com.vn/laptop-gaming-acer-nitro-5-an515-57-74nu.html,CellphoneS
352,Lenovo,Laptop Lenovo Yoga Slim 7I PRO 14IUH5,14,Intel Core i7,16GB,SSD: 1TB,35990000,34190000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-pro-14iuh5-82nh0011vn.html,CellphoneS
353,MSI,Laptop MSI Gaming Bravo 15 B5DD-027VN ,15.6,AMD Ryzen 5,8GB,SSD: 512GB,21990000,20900000,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-027vn.html,CellphoneS
354,Asus,Laptop ASUS VivoBook Flip 14 TM420UA-EC022T,14,AMD Ryzen 5,8GB,SSD: 512GB,18190000,16990000,https://cellphones.com.vn/laptop-asus-vivobook-flip-14-tm420ua.html,CellphoneS
355,Asus,Laptop ASUS VivoBook Pro M3401QA-KM040T,14,AMD Ryzen 7,8GB,SSD: 512GB,22990000,20290000,https://cellphones.com.vn/laptop-asus-vivobook-pro-m3401qa-km040t.html,CellphoneS
356,Asus,Laptop Asus Gaming Rog Strix Scar 17 G733ZX LL016W,17.3,Intel Core i9,16GB,SSD: 1TB,95990000,89990000,https://cellphones.com.vn/laptop-asus-gaming-rog-strix-scar-17-g733zx-ll016w.html,CellphoneS
357,Lenovo,Laptop Lenovo Gaming Legion 5 15ARH05 82B100BJVN ,15.6,AMD Ryzen 7,8GB,SSD: 512GB,29990000,27400000,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-15arh05.html,CellphoneS
358,MSI,Laptop MSI Gaming Bravo 15 B5DD-028VN ,15.6,AMD Ryzen 7,8GB,SSD: 512GB,24990000,23590000,https://cellphones.com.vn/laptop-msi-bravo-15-b5dd-028vn.html,CellphoneS
359,Acer,Laptop Acer Swift 3X SF314-510G-57MR NX.A10SV.004,14,Intel Core i5,8GB,SSD: 512GB,22990000,20390000,https://cellphones.com.vn/laptop-acer-swift-3x-sf314.html,CellphoneS
360,Lenovo,Laptop Lenovo Yoga Slim 9 14ITL5,14,Intel Core i7,16GB,SSD: 1TB,51990000,45990000,https://cellphones.com.vn/laptop-lenovo-yoga-slim-9-14itl5-82d1004jvn.html,CellphoneS
361,Lenovo,Laptop Lenovo Legion 5 15ACH6 82JU00DFVN,15.6,AMD Ryzen 7,8GB,SSD: 512GB,35990000,30990000,https://cellphones.com.vn/laptop-lenovo-legion-5-15ach6-82ju00dfvn.html,CellphoneS
362,Lenovo,Laptop Lenovo ideapad 5 Pro 14ANC6 82L7007YVN,14,AMD Ryzen 7,16GB,SSD: 512GB,24990000,24990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l7007yvn.html,CellphoneS
363,Apple,iMac 24 2021 M1 8GPU 8GB 512GB I Chính hãng Apple Vi<U+1EC7>t Nam,24,Apple M1,8GB,SSD: 512GB,45990000,42000000,https://cellphones.com.vn/imac-2021-8gpu-512gb.html,CellphoneS
364,Acer,Laptop Acer Gaming Aspire 7 A715-42G-R4ST NH.QAYSV.004,15.6,AMD Ryzen 5,8GB,SSD: 256GB,19990000,18690000,https://cellphones.com.vn/laptop-acer-gaming-aspire-7-a715-ryzen-5-5500u.html,CellphoneS
365,Gigabyte,Laptop Gigabyte G5 KC-5S11130SH,15.6,Intel Core i5,16GB,SSD: 512GB,32990000,29990000,https://cellphones.com.vn/laptop-gigabyte-g5-kc-5s11130sh.html,CellphoneS
366,Lenovo,Laptop Lenovo ideapad 5 Pro 82L500LDVN,16,AMD Ryzen 5,16GB,SSD: 512GB,27990000,26490000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-82l500ldvn.html,CellphoneS
367,Dell,Laptop Dell Inspiron 15 3505 Y1N1T5,15.6,AMD Ryzen 5,8GB,SSD: 512GB,20490000,18490000,https://cellphones.com.vn/laptop-dell-inspiron-15-3505-y1n1t5.html,CellphoneS
368,Lenovo,Laptop Lenovo Legion 5 Pro 16ITH6H,16,Intel Core i7,16GB,SSD: 512GB,46990000,44990000,https://cellphones.com.vn/laptop-lenovo-legion-5-pro-16ith6h-82jd0046vn.html,CellphoneS
369,Asus,Laptop ASUS Gaming ROG Zephyrus G14 GA401QE-K2026T,14,AMD Ryzen 7,16GB,SSD: 1TB,41990000,39490000,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qe-k2026t.html,CellphoneS
370,Dell,Laptop Dell Vostro 5510 70253901,15.6,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-vostro-5510-70253901.html,CellphoneS
371,MSI,Laptop MSI Modern 15 A11M,15.6,Intel Core i5,8GB,SSD: 512GB,18990000,18190000,https://cellphones.com.vn/laptop-msi-modern-15-a11m-684vn.html,CellphoneS
372,Dell,Laptop Dell Inspiron 15 5000 I5502 MFK29,15.6,Intel Core i5,12GB,SSD: 256GB,21990000,20190000,https://cellphones.com.vn/laptop-dell-inspiron-15-5000-i5502-mfk29.html,CellphoneS
373,Asus,Laptop ASUS VivoBook D515UA-EJ045T,15.6,AMD Ryzen 5,4GB,SSD: 512GB,14290000,13990000,https://cellphones.com.vn/laptop-asus-vivobook-15-d515ua.html,CellphoneS
374,Asus,Laptop ASUS Gaming ROG Strix G15 G513QC-HN015T,15.6,AMD Ryzen 7,8GB,SSD: 512GB,29990000,26590000,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qc-hn015t.html,CellphoneS
375,Dell,Laptop Dell Inspiron 7306 N7306A,13.3,Intel Core i7,16GB,SSD: 512GB,32990000,30990000,https://cellphones.com.vn/laptop-dell-inspiron-7306-i7-ram-16gb-4k.html,CellphoneS
376,Asus,Laptop ASUS VivoBook 14 A415EA-EB360T,14,Intel Core i5,8GB,SSD: 512GB,18790000,18290000,https://cellphones.com.vn/laptop-asus-vivobook-14-a415ea.html,CellphoneS
377,Asus,Laptop ASUS Vivobook  A515EP-BQ630T,15.6,Intel Core i7,8GB,SSD: 512GB,23490000,20990000,https://cellphones.com.vn/laptop-asus-vivobook-a515ep-bq630t.html,CellphoneS
378,Asus,Laptop ASUS ZenBook UX325EA,13.3,Intel Core i5,8GB,SSD: 256GB,21990000,21690000,https://cellphones.com.vn/laptop-asus-zenbook-13-ux325ea.html,CellphoneS
379,MSI,Laptop MSI Gaming Alpha 17 B5EEK-031VN,17.3,AMD Ryzen 7,8GB,SSD: 512GB,35490000,32990000,https://cellphones.com.vn/lalptop-msi-gaming-alpha-17-b5eek-031vn.html,CellphoneS
380,Asus,Laptop ASUS Gaming ROG Strix G15 G513QM-HF389T,15.6,AMD Ryzen 9,16GB,SSD: 512GB,42990000,40490000,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513qm-hf389t.html,CellphoneS
381,Asus,Laptop ASUS ROG Strix G17 G713QR-HG073T,17.3,AMD Ryzen 9,16GB,SSD: 1TB,50990000,47890000,https://cellphones.com.vn/laptop-asus-rog-strix-g17-g713qr-hg073t.html,CellphoneS
382,Lenovo,Laptop Lenovo Ideapad 5 Pro 14ACN6 82l7007XVN,14,AMD Ryzen 5,16GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-lenovo-ideapad-5-pro-14acn6-82l7007xvn.html,CellphoneS
383,Dell,Laptop Dell Vostro 5410 V4i5214W1,14,Intel Core i5,8GB,SSD: 512GB,23690000,21890000,https://cellphones.com.vn/laptop-dell-vostro-5410-v4i5214w1.html,CellphoneS
384,Asus,Laptop ASUS TUF Gaming FA706IU-H7133T,17.3,AMD Ryzen 7,8GB,SSD: 512GB,27990000,25590000,https://cellphones.com.vn/laptop-asus-tuf-gaming-a17-fa706iu.html,CellphoneS
385,Dell,Laptop Dell Vostro 5301 C4VV92,13.3,Intel Core i5,8GB,SSD: 512GB,22690000,22190000,https://cellphones.com.vn/laptop-dell-vostro-5301-i5.html,CellphoneS
386,Dell,Laptop Dell Gaming G5 5500 P89F003 ,15.6,Intel Core i7,16GB,SSD: 1TB,34990000,33610000,https://cellphones.com.vn/laptop-dell-gaming-g5-15-5500-ram-16gb-ssd-1tb-144hz.html,CellphoneS
387,Lenovo,Laptop Lenovo V15 G2 ITL,15.6,Intel Core i5,8GB,SSD: 512GB,17990000,16990000,https://cellphones.com.vn/laptop-lenovo-v15-g2-itl-82kb00cwvn.html,CellphoneS
388,HP,Laptop HP 340S G7 36A37PA,14,Intel Core i7,8GB,SSD: 512GB,21990000,20890000,https://cellphones.com.vn/laptop-hp-340s-g7-36a37pa.html,CellphoneS
389,Lenovo,Laptop Lenovo Gaming Legion 5 15ACH6H 82JU00DGVN ,15.6,AMD Ryzen 7,8GB,SSD: 512GB,43990000,43990000,https://cellphones.com.vn/laptop-lenovo-gaming-legion-5-15ach6h-82ju00dgvn.html,CellphoneS
390,Dell,Laptop Dell Vostro 3400 70270645,14,Intel Core i5,8GB,SSD: 256GB,18990000,17490000,https://cellphones.com.vn/laptop-dell-vostro-3400-70270645.html,CellphoneS
391,HP,Laptop HP Pavilion 15-EG0542TU 4P5G9PA,15.6,Intel Core i3,4GB,SSD: 256GB,15990000,14790000,https://cellphones.com.vn/laptop-hp-pavilion-15-eg0542tu-4p5g9pa.html,CellphoneS
392,Asus,Laptop ASUS E210MA-GJ083T,11.6,Intel Celeron,4GB,SSD: 128GB,7490000,7290000,https://cellphones.com.vn/laptop-asus-e210ma-gj083t.html,CellphoneS
393,Lenovo,Laptop Lenovo Gaming Legion 5 15ACH6H,15.6,AMD Ryzen 7,8GB,SSD: 512GB,35990000,31490000,https://cellphones.com.vn/laptop-lenovo-legion-5-15ach6h-82ju00dgvn.html,CellphoneS
394,Asus,Laptop ASUS X515MA-BR481T,15.6,Intel Celeron,4GB,SSD: 256GB,7990000,7990000,https://cellphones.com.vn/laptop-asus-x515ma-br481t.html,CellphoneS
395,Asus,Laptop ASUS TUF Gaming FX706HC-HX003T,17.3,Intel Core i5,8GB,SSD: 512GB,26990000,25690000,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx706hc-hx003t.html,CellphoneS
396,Asus,Laptop ASUS VivoBook X515EA-EJ1046T,15.6,Intel Core i5,8GB,SSD: 512GB,17690000,16590000,https://cellphones.com.vn/laptop-asus-vivobook-x515ea-ej1046t.html,CellphoneS
397,Dell,Laptop Dell Gaming G3 G3500CW,15.6,Intel Core i7,16GB,SSD: 256GB,27990000,25900000,https://cellphones.com.vn/laptop-dell-gaming-g3-g3500cw.html,CellphoneS
398,Asus,Laptop ASUS Zenbook UX425EA ,14,Intel Core i7,16GB,SSD: 1TB,30690000,29090000,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki439t.html,CellphoneS
399,Asus,Laptop ASUS Gaming ROG Zephyrus G15 GA503QS-HQ052T,15.6,AMD Ryzen 9,32GB,SSD: 1TB,69990000,58790000,https://cellphones.com.vn/laptop-asus-gaming-rog-zephyrus-g15-ga503qs.html,CellphoneS
400,Dell,Laptop Dell Inspirion 15 3511 70270650,15.6,Intel Core i5,8GB,SSD: 512GB,22990000,21990000,https://cellphones.com.vn/laptop-dell-inspiron-15-3511-70270650.html,CellphoneS
401,Asus,Laptop ASUS Gaming ROG FLOW X13 GV301QH-K6054T ,13,AMD Ryzen 7,16GB,SSD: 512GB,34990000,34990000,https://cellphones.com.vn/laptop-asus-gaming-rog-flow-x13-gv301qh.html,CellphoneS
402,Lenovo,Laptop Lenovo ThinkBook 13s G2 ITL,13.3,Intel Core i5,8GB,SSD: 256GB,22990000,21990000,https://cellphones.com.vn/laptop-lenovo-thinkbook-13s-g2-itl-20v9005hvn.html,CellphoneS
403,Asus,Laptop Gaming ASUS ROG Zephyrus G14 GA401QEC-K2064T ,14,AMD Ryzen 9,16GB,SSD: 1TB,49990000,40990000,https://cellphones.com.vn/laptop-asus-rog-zephyrus-g14-ga401qec-k2064t.html,CellphoneS
404,Asus,Laptop ASUS E210MA-GJ353T,11.6,Intel Celeron,4GB,SSD: 128GB,8990000,7790000,https://cellphones.com.vn/laptop-asus-e210ma-gj353t.html,CellphoneS
405,Asus,Laptop ASUS TUF DashF15 FX516PC-HN011T,15.6,Intel Core i5,8GB,SSD: 512GB,25990000,24390000,https://cellphones.com.vn/laptop-asus-tuf-dash-f15-fx516pc-hn011t.html,CellphoneS
